Index,Value
0,0.0
1,0.1265924535737492
2,0.2511479871810792
3,0.3716624556603276
4,0.4861967361004687
5,0.5929079290546404
6,0.690079011482112
7,0.7761464642917568
8,0.8497254299495144
9,0.9096319953545184
10,0.954902241444074
11,0.984807753012208
12,0.998867339183008
13,0.9968547759519424
14,0.9788024462147789
15,0.9450008187146683
16,0.8959937742913359
17,0.8325698546347714
18,0.7557495743542583
19,0.6667690005162917
20,0.5670598638627709
21,0.4582265217274105
22,0.3420201433256689
23,0.2203105327865408
24,0.0950560433041824
25,-0.0317279334980678
26,-0.15800139597335
27,-0.2817325568414298
28,-0.4009305354066138
29,-0.5136773915734064
30,-0.6181589862206053
31,-0.7126941713788629
32,-0.7957618405308321
33,-0.8660254037844388
34,-0.9223542941045814
35,-0.9638421585599422
36,-0.9898214418809328
37,-0.9998741276738752
38,-0.993838464461254
39,-0.9718115683235417
40,-0.9341478602651068
41,-0.881453363447582
42,-0.8145759520503358
43,-0.7345917086575332
44,-0.6427876096865396
45,-0.5406408174555974
46,-0.4297949120891719
47,-0.312033445698487
48,-0.1892512443604097
49,-0.0634239196565645
50,0.0634239196565649
51,0.1892512443604101
52,0.3120334456984874
53,0.4297949120891715
54,0.5406408174555978
55,0.6427876096865391
56,0.7345917086575334
57,0.8145759520503356
58,0.8814533634475821
59,0.9341478602651068
60,0.9718115683235418
61,0.993838464461254
62,0.9998741276738752
63,0.9898214418809328
64,0.963842158559942
65,0.9223542941045816
66,0.8660254037844383
67,0.7957618405308319
68,0.7126941713788629
69,0.6181589862206056
70,0.5136773915734058
71,0.4009305354066134
72,0.2817325568414299
73,0.1580013959733505
74,0.031727933498067
75,-0.0950560433041828
76,-0.2203105327865403
77,-0.342020143325668
78,-0.4582265217274108
79,-0.5670598638627707
80,-0.6667690005162913
81,-0.7557495743542588
82,-0.8325698546347716
83,-0.8959937742913359
84,-0.9450008187146683
85,-0.9788024462147789
86,-0.9968547759519424
87,-0.998867339183008
88,-0.984807753012208
89,-0.9549022414440737
90,-0.9096319953545184
91,-0.8497254299495145
92,-0.7761464642917573
93,-0.6900790114821116
94,-0.5929079290546404
95,-0.486196736100469
96,-0.3716624556603267
97,-0.2511479871810788
98,-0.1265924535737493
99,-4.898587196589413e-16
100,-1.2246467991473532e-16
101,0.0175471930492621
102,0.0350727680376019
103,0.0525551335374467
104,0.069972751355116
105,0.0873041630657748
106,0.1045280164501147
107,0.121623091800188
108,0.1385683280619929
109,0.1553428487825928
110,0.1719259878298112
111,0.1882973148528094
112,0.204436660452187
113,0.2203241410285875
114,0.2359401832792018
115,0.2512655483119849
116,0.2662813553478854
117,0.2809691049818761
118,0.2953107019741365
119,0.3092884775433035
120,0.3228852111343308
121,0.3360841516341318
122,0.3488690380088732
123,0.3612241193374954
124,0.3731341742167735
125,0.3845845295140161
126,0.3955610784442965
127,0.406050297949948
128,0.4160392653609079
129,0.4255156743153866
130,0.4344678499212501
131,0.4428847631394322
132,0.4507560443716605
133,0.458071996235753
134,0.4648236055127482
135,0.4710025542511502
136,0.4766012300146056
137,0.4816127352603904
138,0.4860308958371511
139,0.48985026859143
140,0.4930661480736057
141,0.4956745723349856
142,0.4976723278089073
143,0.4990569532698393
144,0.4998267428655982
145,0.4999807482189518
146,0.4995187795960151
147,0.4984414061400011
148,0.4967499551700397
149,0.4944465105459263
150,0.491533910100816
151,0.4880157421450268
152,0.4838963410452571
153,0.4791807818846664
154,0.4738748742103962
155,0.4679851548762345
156,0.4615188799892418
157,0.4544840159702624
158,0.446889229739328
159,0.4387438780380541
160,0.4300579959021766
161,0.4208422842984345
162,0.4111080969410283
163,0.4008674263038957
164,0.3901328888460398
165,0.378917709468109
166,0.3672357052193825
167,0.3551012682752261
168,0.3425293482060004
169,0.329535433559259
170,0.3161355327779292
171,0.3023461544779829
172,0.2881842871099016
173,0.2736673780289786
174,0.2588133120002612
175,0.2436403891646015
176,0.2281673024929675
177,0.2124131147567892
178,0.1963972350427116
179,0.1801393948406899
180,0.1636596237348847
181,0.1469782247273059
182,0.1301157492246112
183,0.1130929717188624
184,0.0959308641934513
185,0.0786505702857111
186,0.0612733792380521
187,0.043820699669717
188,0.0263140332014552
189,0.0087749479656287
190,-0.0087749479656283
191,-0.0263140332014548
192,-0.0438206996697166
193,-0.0612733792380517
194,-0.0786505702857098
195,-0.0959308641934501
196,-0.1130929717188621
197,-0.1301157492246108
198,-0.1469782247273056
199,-0.1636596237348836
200,-0.1801393948406887
201,-0.1963972350427112
202,-0.2124131147567889
203,-0.2281673024929672
204,-0.2436403891646011
205,-0.2588133120002608
206,-0.2736673780289783
207,-0.2881842871099013
208,-0.3023461544779827
209,-0.3161355327779282
210,-0.3295354335592581
211,-0.3425293482060001
212,-0.3551012682752258
213,-0.3672357052193823
214,-0.3789177094681088
215,-0.3901328888460396
216,-0.4008674263038955
217,-0.411108096941028
218,-0.4208422842984344
219,-0.4300579959021764
220,-0.4387438780380538
221,-0.4468892297393279
222,-0.4544840159702623
223,-0.4615188799892417
224,-0.467985154876234
225,-0.4738748742103958
226,-0.4791807818846661
227,-0.4838963410452571
228,-0.4880157421450268
229,-0.491533910100816
230,-0.4944465105459263
231,-0.4967499551700397
232,-0.4984414061400011
233,-0.4995187795960151
234,-0.4999807482189518
235,-0.4998267428655982
236,-0.4990569532698393
237,-0.4976723278089074
238,-0.4956745723349857
239,-0.493066148073606
240,-0.4898502685914302
241,-0.4860308958371513
242,-0.4816127352603905
243,-0.4766012300146057
244,-0.4710025542511504
245,-0.4648236055127482
246,-0.458071996235753
247,-0.4507560443716606
248,-0.4428847631394324
249,-0.4344678499212502
250,-0.4255156743153868
251,-0.4160392653609082
252,-0.4060502979499485
253,-0.395561078444297
254,-0.3845845295140166
255,-0.3731341742167743
256,-0.3612241193374963
257,-0.3488690380088735
258,-0.3360841516341321
259,-0.3228852111343314
260,-0.3092884775433042
261,-0.2953107019741364
262,-0.2809691049818764
263,-0.2662813553478857
264,-0.2512655483119852
265,-0.2359401832792021
266,-0.2203241410285883
267,-0.2044366604521878
268,-0.1882973148528101
269,-0.171925987829812
270,-0.155342848782594
271,-0.1385683280619941
272,-0.1216230918001884
273,-0.104528016450115
274,-0.0873041630657756
275,-0.0699727513551169
276,-0.0525551335374466
277,-0.0350727680376018
278,-0.0175471930492625
279,-2.4492935982947064e-16
280,-1.2246467991473532e-16
281,0.0175471930492621
282,0.0350727680376019
283,0.0525551335374467
284,0.069972751355116
285,0.0873041630657748
286,0.1045280164501147
287,0.121623091800188
288,0.1385683280619929
289,0.1553428487825928
290,0.1719259878298112
291,0.1882973148528094
292,0.204436660452187
293,0.2203241410285875
294,0.2359401832792018
295,0.2512655483119849
296,0.2662813553478854
297,0.2809691049818761
298,0.2953107019741365
299,0.3092884775433035
300,0.3228852111343308
301,0.3360841516341318
302,0.3488690380088732
303,0.3612241193374954
304,0.3731341742167735
305,0.3845845295140161
306,0.3955610784442965
307,0.406050297949948
308,0.4160392653609079
309,0.4255156743153866
310,0.4344678499212501
311,0.4428847631394322
312,0.4507560443716605
313,0.458071996235753
